Year,S/T code,S/T name,LGA code,LGA name,0–4,5–9,10–14,15–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85 and over,Total persons
2001,1,New South Wales,10050,Albury,3163,3417,3317,3564,3226,2875,3112,3125,3493,3200,2862,2190,1823,1539,1527,1254,830,748,45265
2001,1,New South Wales,10180,Armidale,1733,1980,2268,2945,2469,1637,1683,1898,1955,1809,1733,1392,1151,883,815,671,479,405,27906
2001,1,New South Wales,10250,Ballina,2175,2544,2827,2566,1681,1782,2061,2494,2906,2978,2776,2074,1854,1739,1880,1667,1070,782,37856
2001,1,New South Wales,10300,Balranald,208,234,215,172,156,181,202,211,234,211,161,123,117,102,88,77,42,17,2751
2001,1,New South Wales,10470,Bathurst,2371,2479,2820,3388,2687,2303,2407,2517,2663,2438,2266,1758,1355,1121,1076,812,546,497,35504
2001,1,New South Wales,10500,Bayside (NSW),8370,7404,6821,7543,9019,10755,10654,10436,9229,8349,8240,6853,5947,5047,4739,4112,2999,2558,129075
2001,1,New South Wales,10550,Bega Valley,1778,2285,2459,1906,1045,1254,1637,1973,2536,2378,2168,1961,1820,1526,1474,1105,661,459,30425
2001,1,New South Wales,10600,Bellingen,751,982,1124,826,383,469,625,889,1126,1047,883,742,689,617,574,432,270,205,12634
2001,1,New South Wales,10650,Berrigan,480,568,594,499,357,404,437,487,580,575,554,511,483,427,434,316,204,165,8075
2001,1,New South Wales,10750,Blacktown,22829,22418,20526,19892,19311,21253,21886,21259,19470,17583,16524,11621,8637,6772,5588,3996,2077,1461,263103
2001,1,New South Wales,10800,Bland,492,512,517,427,291,339,384,465,498,461,431,335,361,317,309,225,130,109,6603
2001,1,New South Wales,10850,Blayney,475,515,541,412,254,343,433,483,500,476,439,371,358,287,273,146,95,77,6478
2001,1,New South Wales,10900,Blue Mountains,5007,5547,5837,5591,4174,4313,4861,5666,6369,6317,5853,4306,3268,2594,2314,2062,1333,1116,76528
2001,1,New South Wales,10950,Bogan,270,282,241,166,142,199,251,227,190,177,201,205,182,150,111,69,54,39,3156
2001,1,New South Wales,11150,Bourke,391,397,319,230,237,342,330,303,265,230,218,182,140,113,105,64,31,22,3919
2001,1,New South Wales,11200,Brewarrina,217,213,177,119,144,184,209,157,161,120,103,95,69,62,57,29,18,14,2148
2001,1,New South Wales,11250,Broken Hill,1356,1438,1520,1360,961,1128,1291,1477,1657,1482,1435,1127,1026,981,1078,706,487,419,20929
2001,1,New South Wales,11300,Burwood,1607,1655,1795,2122,2449,2744,2331,2381,2278,2032,1921,1417,1276,1112,1128,924,642,579,30393
2001,1,New South Wales,11350,Byron,1729,2108,2380,1988,1355,1659,1848,2334,2899,2819,2232,1515,1072,907,927,796,504,381,29453
2001,1,New South Wales,11400,Cabonne,815,947,1032,831,566,577,672,889,910,864,914,818,717,606,480,378,215,216,12447
2001,1,New South Wales,11450,Camden,4098,4044,3620,3120,2849,3963,3976,3784,3379,2971,2728,1835,1324,1010,845,718,498,405,45167
2001,1,New South Wales,11500,Campbelltown (NSW),11881,13259,13314,13401,11314,10917,10400,11347,11918,11108,10162,6446,4422,3012,2457,1931,1146,753,149188
2001,1,New South Wales,11520,Canada Bay,3624,3244,3087,3213,4037,5433,5862,5328,4710,4144,4189,3261,2777,2410,2328,1954,1295,1044,61940
2001,1,New South Wales,11570,Canterbury-Bankstown,22239,21549,20039,20435,21173,23417,23943,24356,22706,19855,18489,14759,12830,11569,11401,9504,5495,3833,307592
2001,1,New South Wales,11600,Carrathool,279,264,227,192,204,224,251,287,253,224,200,149,167,122,104,71,36,36,3290
2001,1,New South Wales,11650,Central Coast (NSW),20036,21922,21412,18861,14982,16921,19149,21437,21906,19582,18201,15242,13332,13046,13560,11742,7893,5372,294596
2001,1,New South Wales,11700,Central Darling,191,202,156,140,151,195,188,170,164,188,186,150,136,72,64,38,31,10,2432
2001,1,New South Wales,11720,Cessnock,3326,3559,3562,3300,2799,2945,3193,3291,3601,3318,3190,2548,1937,1727,1645,1337,871,674,46823
2001,1,New South Wales,11730,Clarence Valley,3049,3540,3864,3124,1884,2249,2588,3329,3800,3477,3359,2898,2706,2453,2286,1713,1118,810,48247
2001,1,New South Wales,11750,Cobar,441,436,408,319,301,379,399,430,398,320,277,239,186,161,132,73,48,43,4990
2001,1,New South Wales,11800,Coffs Harbour,3935,4628,5070,4634,2979,3021,3632,4368,5029,4825,4356,3427,3058,2737,2567,2070,1280,966,62582
2001,1,New South Wales,12000,Coolamon,296,352,353,249,175,168,258,297,308,277,248,238,228,181,170,136,86,70,4090
2001,1,New South Wales,12150,Coonamble,408,467,365,275,234,280,352,353,342,309,309,228,223,201,194,120,76,61,4797
2001,1,New South Wales,12160,Cootamundra-Gundagai,785,882,873,671,495,595,683,817,833,744,781,677,695,493,542,378,248,205,11397
2001,1,New South Wales,12350,Cowra,928,1020,969,811,609,720,758,895,865,865,885,745,728,630,589,456,286,230,12989
2001,1,New South Wales,12380,Cumberland,12833,12133,11448,12027,13411,14157,13763,13520,12312,10831,10265,7932,6651,5516,5290,4407,2764,1940,171200
2001,1,New South Wales,12390,Dubbo,3876,3967,3819,3454,2763,2979,3263,3376,3470,3113,2959,2381,2121,1677,1542,1179,690,547,47176
2001,1,New South Wales,12700,Dungog,529,641,683,560,347,405,518,622,686,628,588,506,492,327,296,236,152,122,8338
2001,1,New South Wales,12730,Edward River,738,789,765,616,508,602,652,730,778,704,649,501,496,438,434,323,187,164,10074
2001,1,New South Wales,12750,Eurobodalla,1781,2133,2423,1936,1157,1355,1589,2019,2509,2438,2399,2297,2287,2183,2023,1598,935,577,33639
2001,1,New South Wales,12850,Fairfield,13362,14315,13952,14713,13897,14124,14101,14853,15073,13326,11873,8521,7297,6048,5213,3798,1944,1415,187825
2001,1,New South Wales,12870,Federation,806,845,841,699,478,603,693,817,853,841,820,773,723,708,644,513,281,183,12121
2001,1,New South Wales,12900,Forbes,704,736,826,739,488,572,589,696,703,650,679,607,549,437,358,303,240,186,10062
2001,1,New South Wales,12930,Georges River,7701,7514,7406,7989,8669,9297,9624,10149,9539,8516,8036,6589,5494,4799,4631,4417,3074,2333,125777
2001,1,New South Wales,12950,Gilgandra,312,377,426,293,225,243,267,301,364,317,343,252,280,214,198,160,107,82,4761
2001,1,New South Wales,13010,Glen Innes Severn,553,654,631,547,385,437,518,588,641,568,644,535,536,464,416,294,236,171,8818
2001,1,New South Wales,13310,Goulburn Mulwaree,1730,1823,1909,1939,1540,1699,1787,1932,1906,1845,1738,1560,1283,1091,1036,757,456,370,26401
2001,1,New South Wales,13340,Greater Hume,675,870,913,774,394,446,604,734,799,792,790,656,545,398,427,289,182,167,10455
2001,1,New South Wales,13450,Griffith,2055,1988,1891,1658,1606,1804,1870,1878,1737,1554,1372,1102,992,869,782,638,349,267,24412
2001,1,New South Wales,13550,Gunnedah,937,1013,977,831,556,690,748,854,926,835,781,688,629,534,487,379,235,206,12306
2001,1,New South Wales,13660,Gwydir,367,435,412,300,209,298,363,424,416,371,436,387,376,306,233,181,127,75,5716
2001,1,New South Wales,13800,Hawkesbury,5005,5298,5112,4660,4030,4584,5094,5142,5024,4220,4107,2963,2127,1524,1386,995,678,463,62412
2001,1,New South Wales,13850,Hay,296,315,260,207,162,235,236,313,283,214,223,196,181,165,116,85,69,64,3620
2001,1,New South Wales,13910,Hilltops,1339,1465,1368,1081,867,938,1047,1291,1259,1195,1253,1069,954,817,762,585,396,328,18014
2001,1,New South Wales,14000,Hornsby,8284,9233,10039,10090,8557,7874,8696,10323,10935,10108,9779,7446,5303,3922,3770,3368,2414,2503,132644
2001,1,New South Wales,14100,Hunters Hill,733,759,988,1305,657,645,785,935,930,944,980,725,610,435,477,465,394,529,13296
2001,1,New South Wales,14170,Inner West,9121,7509,6715,7741,12766,18412,19266,16677,13600,11675,10546,7678,6216,5409,4757,3611,2452,2542,166693
2001,1,New South Wales,14220,Inverell,1138,1325,1328,1113,824,908,1023,1114,1196,1051,1141,1021,939,796,688,505,338,336,16784
2001,1,New South Wales,14300,Junee,379,459,455,392,354,436,414,429,478,401,413,322,226,219,164,163,88,67,5859
2001,1,New South Wales,14350,Kempsey,1810,2120,2238,1827,1095,1223,1405,1815,2117,2022,1981,1657,1548,1290,1131,955,557,373,27164
2001,1,New South Wales,14400,Kiama,1156,1441,1632,1449,881,902,1055,1376,1643,1574,1297,1059,957,839,886,745,511,390,19793
2001,1,New South Wales,14500,Ku-ring-gai,5658,7332,8289,8589,7028,4500,4806,6934,8313,8312,8514,6726,5039,4192,4168,3637,2533,2395,106965
2001,1,New South Wales,14550,Kyogle,622,821,911,688,328,375,518,708,845,830,718,525,461,426,361,297,179,126,9739
2001,1,New South Wales,14600,Lachlan,620,668,574,479,395,464,486,532,569,495,497,375,393,335,300,237,127,105,7651
2001,1,New South Wales,14650,Lake Macquarie,11908,13262,13440,13176,10339,10838,11964,13014,13895,13355,13023,10841,8976,7884,7652,6185,3843,2758,186353
2001,1,New South Wales,14700,Lane Cove,1858,1783,1759,1901,2406,2798,2614,2610,2481,2295,2221,1693,1243,964,972,957,687,638,31880
2001,1,New South Wales,14750,Leeton,946,916,1104,992,623,807,777,865,869,683,701,574,536,441,371,316,167,144,11832
2001,1,New South Wales,14850,Lismore,2879,3076,3309,3522,2938,2490,2541,3028,3470,3373,2941,2067,1704,1441,1340,1094,793,715,42721
2001,1,New South Wales,14870,Lithgow,1373,1514,1559,1408,1083,1237,1337,1555,1581,1416,1468,1260,964,828,726,568,354,220,20451
2001,1,New South Wales,14900,Liverpool,13828,13530,11869,11204,11691,13650,14347,13821,12013,9714,8972,6511,5252,4103,3138,2215,1228,941,158027
2001,1,New South Wales,14920,Liverpool Plains,515,590,549,485,349,377,503,544,566,567,609,535,457,394,348,258,197,134,7977
2001,1,New South Wales,14950,Lockhart,239,281,287,237,138,167,217,260,269,264,228,233,180,142,159,102,82,65,3550
2001,1,New South Wales,15050,Maitland,4308,4460,4474,4322,3566,3724,3878,4199,4302,4028,3672,2788,2068,1756,1676,1362,833,639,56055
2001,1,New South Wales,15240,Mid-Coast,4588,5702,6106,4942,2977,3394,4059,5049,5869,5371,5552,5456,5362,4875,4668,3573,2238,1510,81291
2001,1,New South Wales,15270,Mid-Western,1512,1748,1726,1403,958,1161,1465,1608,1565,1489,1576,1435,1183,968,826,619,429,332,22003
2001,1,New South Wales,15300,Moree Plains,1458,1388,1175,1004,1182,1316,1364,1270,1186,1001,997,801,647,474,349,252,142,102,16108
2001,1,New South Wales,15350,Mosman,1583,1510,1399,1382,1655,2273,2444,2357,2197,1990,2103,1756,1183,880,850,802,661,655,27680
2001,1,New South Wales,15520,Murray River,735,831,841,674,456,580,683,780,869,756,719,677,635,559,495,377,204,126,10997
2001,1,New South Wales,15560,Murrumbidgee,352,376,354,271,235,305,334,377,347,303,303,249,225,177,166,85,62,27,4548
2001,1,New South Wales,15650,Muswellbrook,1223,1267,1245,1073,905,1102,1162,1203,1150,1053,988,782,526,456,380,255,171,158,15099
2001,1,New South Wales,15700,Nambucca Valley,1022,1283,1460,1227,626,721,824,1102,1396,1329,1231,1099,1051,963,1009,837,491,355,18026
2001,1,New South Wales,15750,Narrabri,1070,1149,1103,902,862,928,1011,1114,1104,994,915,821,681,561,477,341,207,182,14422
2001,1,New South Wales,15800,Narrandera,476,547,510,439,329,352,362,463,504,434,459,352,319,303,317,247,147,126,6686
2001,1,New South Wales,15850,Narromine,550,564,580,495,348,431,456,497,549,494,473,408,325,287,243,180,106,74,7060
2001,1,New South Wales,15900,Newcastle,8359,8227,8234,9467,11733,10780,10313,10302,10103,9236,8590,6947,5831,5283,5811,5379,3563,2843,141001
2001,1,New South Wales,15950,North Sydney,2274,1570,1559,2128,4771,8816,7855,5197,3993,3734,4038,3286,2309,1751,1555,1441,1090,970,58337
2001,1,New South Wales,15990,Northern Beaches,14605,13623,12991,13028,14238,17630,18765,19058,17590,15835,15696,13412,10368,8100,8018,7281,5232,4346,229816
2001,1,New South Wales,16100,Oberon,390,397,418,348,349,353,355,352,346,377,405,339,247,167,149,134,81,50,5257
2001,1,New South Wales,16150,Orange,2838,2836,2842,2905,2297,2547,2605,2532,2642,2416,2305,1750,1471,1315,1156,1004,663,577,36701
2001,1,New South Wales,16200,Parkes,1196,1216,1182,1003,687,835,986,1072,1102,962,898,778,724,627,620,473,314,252,14927
2001,1,New South Wales,16260,Parramatta,10686,10128,10473,11031,12940,14372,14043,14102,13161,11470,10948,8912,7222,5759,5193,4349,2976,2336,170101
2001,1,New South Wales,16350,Penrith,14195,14443,14130,14371,13854,14572,13930,13550,13973,12469,11726,7628,5215,3814,3191,2689,1569,958,176277
2001,1,New South Wales,16380,Port Macquarie-Hastings,3595,4341,4825,3997,2406,2664,3343,4162,4721,4373,4303,4192,3905,3851,3766,3076,1976,1464,64960
2001,1,New South Wales,16400,Port Stephens,4006,4539,4496,3771,2937,3353,3801,4423,4231,3909,3872,3388,3170,2722,2462,1823,963,643,58509
2001,1,New South Wales,16490,Queanbeyan-Palerang,3279,3363,3308,3010,2671,2930,3637,3969,3746,3339,3146,2299,1704,1215,1057,786,469,361,44289
2001,1,New South Wales,16550,Randwick,6426,5630,5469,7635,12909,13197,11720,10354,8680,7970,7502,5869,4849,4164,4176,3650,2364,1892,124456
2001,1,New South Wales,16610,Richmond Valley,1435,1703,1766,1371,952,1074,1213,1496,1517,1508,1335,1101,1053,967,905,727,515,376,21014
2001,1,New South Wales,16700,Ryde,5835,5524,5240,5849,7513,8180,8450,8550,7618,6709,6238,4681,3919,3532,3650,3143,2091,1794,98516
2001,1,New South Wales,16900,Shellharbour,4627,4860,4573,4445,3589,4048,4357,4794,4669,3971,3664,2943,2527,2113,1837,1238,643,485,59383
2001,1,New South Wales,16950,Shoalhaven,5337,6436,6625,5316,3629,4028,4592,5762,6390,5710,5687,5285,5372,5031,4857,3504,1956,1339,86856
2001,1,New South Wales,17000,Singleton,1647,1845,1723,1617,1246,1396,1572,1727,1746,1542,1416,931,740,585,525,374,237,197,21066
2001,1,New South Wales,17040,Snowy Monaro,1223,1404,1440,1240,1015,1158,1308,1509,1632,1418,1364,1181,996,783,651,515,355,248,19440
2001,1,New South Wales,17080,Snowy Valleys,995,1157,1124,939,717,892,960,1124,1147,1074,1038,853,778,649,606,492,312,227,15084
2001,1,New South Wales,17100,Strathfield,1507,1827,2118,2253,2377,2090,1891,2158,2296,2147,1890,1447,1175,1040,985,880,638,534,29253
2001,1,New South Wales,17150,Sutherland,13462,14147,14768,14725,14390,16132,15665,16255,16500,15363,15113,11622,8482,7028,7100,5629,3460,2617,212458
2001,1,New South Wales,17200,Sydney,4570,3555,3665,6605,15337,19817,16564,12066,9233,7828,7393,5613,4452,3603,3308,2551,1511,1230,128901
2001,1,New South Wales,17310,Tamworth,3591,3960,4394,4106,2862,3159,3354,3690,3954,3728,3614,3028,2613,2158,1964,1549,1014,819,53557
2001,1,New South Wales,17350,Temora,454,472,542,411,256,339,349,419,461,412,409,349,292,314,279,216,159,155,6288
2001,1,New South Wales,17400,Tenterfield,449,484,504,381,318,364,389,394,519,530,516,434,402,343,304,231,137,143,6842
2001,1,New South Wales,17420,The Hills,7542,8501,9318,9582,8265,7578,7875,8811,9374,9598,9899,7422,4623,2875,2382,1787,1045,824,117301
2001,1,New South Wales,17550,Tweed,4238,4985,5298,4639,2842,3305,3962,4970,5597,5082,4810,4212,4211,4333,4368,3627,2104,1397,73980
2001,1,New South Wales,17620,Upper Hunter,924,932,1039,959,668,773,844,994,1044,980,930,794,677,517,491,364,248,252,13430
2001,1,New South Wales,17640,Upper Lachlan,455,549,560,399,243,283,401,565,526,503,555,545,445,410,319,218,138,96,7210
2001,1,New South Wales,17650,Uralla,398,439,510,466,272,291,362,426,502,484,486,386,292,223,210,141,92,72,6052
2001,1,New South Wales,17750,Wagga Wagga,4234,4307,4190,5004,4584,3924,3836,3917,4038,3788,3392,2506,2168,1807,1649,1318,901,717,56280
2001,1,New South Wales,17850,Walcha,258,265,217,161,138,179,215,227,230,269,226,230,178,153,124,104,63,45,3282
2001,1,New South Wales,17900,Walgett,640,675,530,429,508,568,603,616,644,610,608,541,440,329,263,129,81,47,8261
2001,1,New South Wales,17950,Warren,288,254,199,175,203,219,285,249,283,202,215,193,169,122,100,60,45,32,3293
2001,1,New South Wales,18020,Warrumbungle,764,873,862,646,425,483,587,762,762,768,752,669,621,530,451,337,246,224,10762
2001,1,New South Wales,18050,Waverley,3221,2695,2584,2871,4699,7812,7273,5586,4587,3923,3867,2873,2331,2009,1986,1926,1338,1272,62853
2001,1,New South Wales,18100,Weddin,221,277,291,244,136,171,213,227,284,279,300,262,241,182,193,133,97,75,3826
2001,1,New South Wales,18200,Wentworth,494,531,559,495,353,442,447,515,542,525,570,456,359,279,225,171,112,81,7156
2001,1,New South Wales,18250,Willoughby,3939,3441,3142,3463,4398,5499,5515,5283,4757,4266,4244,2994,2304,1909,1950,1747,1277,1271,61399
2001,1,New South Wales,18350,Wingecarribee,2864,3336,3489,2877,1743,2085,2603,3069,3228,2880,2870,2600,2283,1911,1707,1312,834,693,42384
2001,1,New South Wales,18400,Wollondilly,2921,3301,3448,3026,2151,2406,2793,3086,3209,2840,2662,1889,1360,983,846,613,384,260,38178
2001,1,New South Wales,18450,Wollongong,12241,12708,12312,13047,13519,13571,13174,14135,13885,12470,11911,9683,8772,7709,7346,5858,3504,2430,188275
2001,1,New South Wales,18500,Woollahra,2423,2243,2561,2757,3561,5323,5182,4050,3696,3459,4073,3102,2322,1820,1876,1778,1287,1164,52677
2001,1,New South Wales,18710,Yass Valley,817,940,913,777,556,623,810,891,1009,922,974,750,595,429,411,268,167,150,12002
2001,1,New South Wales,19399,Unincorporated NSW,69,89,56,48,67,77,102,104,110,114,110,85,65,45,31,20,12,6,1210
2001,2,Victoria,20110,Alpine,740,886,973,768,483,635,769,911,1065,976,910,819,686,603,556,449,268,212,12709
2001,2,Victoria,20260,Ararat,669,798,846,658,489,575,693,796,864,872,879,752,657,565,550,432,237,212,11544
2001,2,Victoria,20570,Ballarat,5545,5883,6080,6717,6110,5574,5582,5777,5917,5427,5100,3817,3290,2983,2998,2491,1615,1427,82333
2001,2,Victoria,20660,Banyule,6974,7179,7647,8064,8258,8493,8615,8581,8736,8449,8391,6613,5095,4437,4331,3824,2379,1901,117967
2001,2,Victoria,20740,Bass Coast,1421,1586,1630,1408,969,1186,1438,1596,1712,1674,1727,1695,1606,1611,1650,1175,689,470,25243
2001,2,Victoria,20830,Baw Baw,2355,2846,3083,2682,1760,1868,2275,2565,2886,2624,2498,1913,1677,1346,1273,1001,654,544,35850
2001,2,Victoria,20910,Bayside (Vic.),5190,5680,5763,5349,4387,4392,5747,6819,7289,6773,6618,5143,3701,3169,3518,3648,2670,2406,88262
