S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,45224,46614,48109,48820,49919,51118,52101,53273,54354,55410,56051,56638,57185,57812,58408,59122,60408,61622,62840,63957,64892,65769,66882,68473
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,18810,19005,19084,19128,19205,19337,19413,19440,19501,19577,19595,19607,19632,19643,19649,19688,19861,20063,20273,20508,20720,20867,21165,21296
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,64093,65063,65941,66787,67299,67708,68319,68762,69214,69989,70407,70609,70871,71213,71611,72019,72832,73669,74501,75539,76437,76980,77442,78003
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10105,Goulburn - Mulwaree,32299,32373,32389,32373,32449,32474,32548,32938,33412,33880,34158,34590,35019,35430,35853,36320,36768,37233,37725,38231,38484,38784,39134,39562
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,31071,31411,31856,32177,32442,32810,33259,33732,34333,35070,35617,35902,36101,36288,36438,36666,36978,37253,37562,37859,38085,38237,38446,38753
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,160596,161388,161458,161223,161462,161885,162975,165153,167081,168351,169018,169885,170795,171694,172780,174137,175545,176740,177962,179107,179150,178868,180280,181658
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,134000,136142,137861,138776,139941,141166,143524,147185,149715,152010,153639,155278,156950,158683,160484,162474,164595,166334,167733,168627,169343,170290,171620,173145
1,New South Wales,1RNSW,Rest of NSW,103,Central West,10301,Bathurst,40816,41193,41414,41503,41809,42122,42448,43100,44095,44711,45176,45529,46021,46469,47018,47588,47992,48337,48695,48984,49241,49698,50187,50529
1,New South Wales,1RNSW,Rest of NSW,103,Central West,10302,Lachlan Valley,58987,58617,58047,57398,56970,56674,56436,56218,56242,56397,56545,56523,56521,56508,56430,56363,56188,55966,55717,55398,54907,54650,54427,54344
1,New South Wales,1RNSW,Rest of NSW,103,Central West,10303,Lithgow - Mudgee,43738,43619,43462,43349,43175,43119,43465,43837,44438,44927,45360,45854,46338,46824,47252,47505,47738,47946,48013,48044,47891,47912,47953,48327
1,New South Wales,1RNSW,Rest of NSW,103,Central West,10304,Orange,52288,52448,52513,52311,52328,52482,53053,53725,54493,55353,56318,56834,57359,57925,58200,58703,59405,60185,60818,61142,61506,61860,62260,62800
1,New South Wales,1RNSW,Rest of NSW,104,Coffs Harbour - Grafton,10401,Clarence Valley,47789,47964,48065,48211,48450,48737,49151,49400,49991,50573,50847,50915,51023,51084,51135,51215,51534,51877,52170,52448,53760,54217,54879,55716
1,New South Wales,1RNSW,Rest of NSW,104,Coffs Harbour - Grafton,10402,Coffs Harbour,75674,76677,77723,78540,79042,79785,80713,81779,82637,83684,84335,84910,85646,86362,87090,88031,89148,90317,91290,92006,92436,93428,94153,94847
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,10501,Bourke - Cobar - Coonamble,30532,29914,29147,28413,27835,27289,26946,26696,26665,26686,26498,26209,25886,25609,25271,24938,24489,23973,23444,22800,22342,22068,22095,22005
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,10502,Broken Hill and Far West,24208,23832,23424,23055,22768,22491,22447,22343,22180,22041,21937,21725,21510,21292,20978,20693,20527,20410,20253,20106,19992,19862,19935,19840
1,New South Wales,1RNSW,Rest of NSW,105,Far West and Orana,10503,Dubbo,68842,68585,68193,67861,67635,67538,67629,68306,68944,69491,69556,69711,69938,70357,70717,71144,72150,73180,73919,74469,74846,75185,75852,76236
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,10601,Lower Hunter,76441,76970,77460,77724,78219,78679,79735,80922,82002,83327,84692,85661,86792,87763,88630,89546,91015,93085,94614,96552,98553,100853,102821,105038
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,10602,Maitland,52324,53927,55458,56753,58337,59934,61670,62840,63895,65097,66540,68671,70561,72453,74149,75855,77866,80068,82095,84698,87389,90375,92716,94799
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,10603,Port Stephens,61044,62087,63336,64088,64784,64829,66155,67099,68138,69289,70039,70697,71240,71764,72273,72954,73636,74256,74922,75684,76403,77505,78426,79356
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,10604,Upper Hunter,28529,28754,28737,28637,28748,28972,29087,29348,29679,30091,30534,30786,30929,30939,30847,30806,30835,30816,30843,30833,30725,30829,31109,31223
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,10701,Dapto - Port Kembla,72302,72678,72874,72980,72762,72762,73271,73903,74510,75209,75330,75552,75960,76451,77094,77623,78243,78703,79102,79395,79871,80670,81571,82396
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,10702,Illawarra Catchment Reserve,13,13,13,13,13,13,13,13,13,13,13,11,10,8,7,5,5,5,5,5,5,5,5,5
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,10703,Kiama - Shellharbour,79109,79844,80623,81015,81437,81794,82623,83828,84940,86058,86959,87764,88883,90189,91281,92416,93519,94713,95995,97727,99374,101193,102619,104623
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,10704,Wollongong,115960,117160,117588,117648,117946,118134,119486,121521,123364,125246,126725,127511,128766,129985,131242,132796,133960,134792,135463,135681,134841,135802,137576,139323
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,10801,Great Lakes,28094,28489,28719,29094,29244,29321,29705,29894,30285,30706,30967,31068,31243,31397,31570,31856,32266,32575,32815,32998,33203,33354,33565,33811
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,10802,Kempsey - Nambucca,45235,45369,45378,45814,46332,46389,46742,47203,47724,48176,48418,48566,48743,48882,48950,49041,49610,50096,50557,50954,51276,51846,52283,52761
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,10803,Lord Howe Island,363,364,359,354,357,357,364,371,377,385,392,399,398,403,411,414,420,426,431,438,444,450,452,448
